id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
211,Lovely Molten Tuna Bites,Fish and Seafood Recipes,10.0,,10.0,,Easy,4.0,10.0,0.5,1.0,0.25,0.25,0.5,0.25,,0.5,,ounces drained tuna,cup Keto-Friendly mayonnaise,"medium avocado, cubed",cup parmesan cheese,cup almond flour,teaspoon garlic powder,teaspoon onion powder,Salt and pepper to taste,cup coconut oil,,Add the listed ingredients (except coconut oil) and avocado to a bowl and mix well,Take cubed avocado and fold them into tuna,Form balls from the mixture and dredge them in almond flour,"Take a pan and place it over medium heat, add oil and let it heat up",Add tuna balls and fry until brown,Serve hot!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Molten_Tuna_Bites-Lovely_Molten_Tuna_Bites.jpg,True,134.0,11.0,2.0,7.0
212,Hearty Lemon And Butter Cod,Fish and Seafood Recipes,5.0,,20.0,,Easy,3.0,4.0,4.0,4.0,4.0,,,,,,,"tablespoons salted butter, divided","thyme sprigs, fresh and divided","teaspoons lemon juice, fresh and divided","cod fillets, 6 ounces each",Salt to taste,,,,,,Pre-heat your oven to 400 degree F,Season cod fillets with salt on both side,"Take four pieces of foil, each foil should be 3 times bigger than fillets","Divide fillets between the foils and top with butter, lemon juice, thyme",Fold to form a pouch and transfer pouches to baking sheet,Bake for 20 minutes,Open and let the steam get out,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Lemon_And_Butter_Cod-Hearty_Lemon_And_Butter_Cod.jpg,True,284.0,18.0,1.0,32.0
213,A Broccoli And Tilapia Dish To Die For!,Fish and Seafood Recipes,4.0,,14.0,,Easy,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,"ounce of tilapia, frozen",tablespoon of butter,"tablespoon of garlic, minced",teaspoon of lemon pepper seasoning,"cup of broccoli florets, fresh",,,,,,Pre-heat your oven to 350 degree Fahrenheit,Add fish in aluminum foil packets,Arrange broccoli around fish,Sprinkle lemon pepper on top,Close the packets and seal,Bake for 14 minutes,"Take a bowl and add garlic and butter, mix well and keep the mixture on the side",Remove the packet from oven and transfer to platter,"Place butter on top of the fish and broccoli, serve and enjoy!",,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/A_Broccoli_And_Tilapia_Dish_To_Die_For-A_Broccoli_And_Tilapia_Dish_To_Die_For.jpg,True,362.0,25.0,2.0,29.0
214,Healthy Tuna Croquettes,Fish and Seafood Recipes,4.0,,9.0,,Easy,4.0,1.0,1.0,8.0,2.0,,1.0,,,,,"can tuna, drained",whole large egg,"tablespoons parmesan cheese, grated",tablespoons flax meal,Salt and pepper to taste,"tablespoons onion, minced",,,,,Add all of the ingredients to a blender (except flax meal) and pulse them mixture into  a crunchy texture,Form patties using the mixture,Dip both sides of the patties in flax meals and fry them in hot oil until both sides are  browned well,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Healthy_Tuna_Croquettes-Healthy_Tuna_Croquettes.jpg,True,105.0,5.0,2.0,14.0
215,Generous Stuffed Salmon Avocado,Fish and Seafood Recipes,10.0,,30.0,,Easy,2.0,1.0,2.0,1.0,2.0,,,,,,,ripe organic avocado,ounces wild caught smoked salmon,ounce fresh goat cheese,tablespoons extra virgin olive oil,Salt as needed,,,,,,Cut avocado in half and deseed,Add rest of the ingredients to a food processor and process until coarsely chopped,Place mixture into avocado,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Generous_Stuffed_Salmon_Avocado-Generous_Stuffed_Salmon_Avocado.jpg,True,525.0,48.0,4.0,19.0
216,Baked Halibut Delight,Fish and Seafood Recipes,15.0,,30.0,,Easy,8.0,6.0,1.0,1.0,1.0,5.0,0.25,0.25,1.0,,,ounces halibut fillets,tablespoon Greek seasoning,"large tomato, chopped","onion, chopped","ounces kalamata olives, pitted",cup capers,cup olive oil,tablespoon lemon juice,Salt and pepper as needed,,Pre-heat your oven to 350 degree Fahrenheit,Transfer the halibut fillets on a large aluminum foil,Season with Greek seasoning,"Take a bowl and add tomato, onion, olives, olive oil, capers, pepper, lemon juice and  salt",Mix well and spoon the tomato mix over the halibut,Seal the edges and fold to make a packet,Place the packet on a baking sheet and bake in your oven for 30-40 minutes,Serve once the fish flakes off and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Baked_Halibut_Delight-Baked_Halibut_Delight.jpg,True,429.0,26.0,10.0,36.0
217,Hungry Tuna Bites,Fish and Seafood Recipes,10.0,,10.0,,Easy,2.0,10.0,0.25,1.0,0.25,0.3,0.5,0.25,,0.5,,"ounces Canned Tuna, drained",cup Keto Friendly mayonnaise,"medium avocado, cubed",cup parmesan cheese,cup almond flour,teaspoon garlic powder,teaspoon onion powder,Salt and pepper as needed,cup coconut oil,,Take a mixing bowl and add the listed ingredients except coconut oil and avocado,Take the cubed avocado and carefully fold them in the tuna mix,Mix well and turn the mixture into balls,Roll the balls into almond flour,Take a pan over medium heat and add coconut oil,Allow the oil to heat up,Add tuna balls and cook them well until you have a brown texture,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hungry_Tuna_Bites-Hungry_Tuna_Bites.jpg,True,134.0,11.0,2.0,7.0
218,Tilapia Broccoli Platter,Fish and Seafood Recipes,4.0,,14.0,,Easy,2.0,6.0,1.0,1.0,1.0,1.0,,,,,,"ounce of tilapia, frozen",tablespoon of butter,"tablespoon of garlic, minced",teaspoon of lemon pepper seasoning,"cup of broccoli florets, fresh",,,,,,Pre-heat your oven to 350 degree F,Add fish in aluminum foil packets,Arrange broccoli around fish,Sprinkle lemon pepper on top,Close the packets and seal,Bake for 14 minutes,"Take a bowl and add garlic and butter, mix well and keep the mixture on the side",Remove the packet from oven and transfer to platter,"Place butter on top of the fish and broccoli, serve and enjoy!",,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Tilapia_Broccoli_Platter-Tilapia_Broccoli_Platter.jpg,True,362.0,25.0,2.0,29.0
219,Simple Baked Shrimp With Béchamel Sauce,Fish and Seafood Recipes,10.0,,,,Easy,4.0,,1.0,4.0,1.0,,,,,,,ounces shrimp,ounce mozzarella,ounces béchamel sauce (recipe provided),tablespoons ghee,,,,,,,Cut boiled shrimp and transfer them to baking dish,Pour sauce on top,Bake for 5-7 minutes,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Baked_Shrimp_With_B%C3%A9chamel_Sauce-Simple_Baked_Shrimp_With_B%C3%A9chamel_Sauce.jpg,True,150.0,10.0,2.0,14.0
220,Simple Sautéed Garlic And Parsley Scallops,Fish and Seafood Recipes,5.0,,25.0,,Easy,4.0,8.0,2.0,16.0,,1.5,,,,,,tablespoons butter,"garlic cloves, minced",large sea scallops,Salt and pepper to taste,tablespoons olive oil,,,,,,Seasons scallops with salt and pepper,"Take a skillet and place it over medium heat, add oil and let it heat up","Saute scallops for 2 minutes per side, repeat until all Scallops are cooked",Add butter to the skillet and let it melt,Stir in garlic and cook for 15 minutes,Return scallops to skillet and stir to coat,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Saut%C3%A9ed_Garlic_And_Parsley_Scallops-Simple_Saut%C3%A9ed_Garlic_And_Parsley_Scallops.jpg,True,417.0,31.0,5.0,29.0
221,Mesmerizing Coconut Haddock,Fish and Seafood Recipes,10.0,,12.0,,Easy,3.0,4.0,2.0,1.0,0.25,,,,,,,"haddock fillets, 5 ounces each, boneless","tablespoons coconut oil, melted","cup coconut, shredded and unsweetened","cup hazelnuts, ground",Salt to taste,,,,,,Pre-heat your oven to 400-degree F,Line a baking sheet with parchment paper,Keep it on the side,Pat fish fillets with paper towel and season with salt,Take a bowl and stir in hazelnuts and shredded coconut,Drag fish fillets through the coconut mix until both sides are coated well,Transfer to baking dish,Brush with coconut oil,Bake for about 12 minutes until flaky,Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mesmerizing_Coconut_Haddock-Mesmerizing_Coconut_Haddock.jpg,True,299.0,24.0,1.0,20.0
222,“Salmon” Platter,Fish and Seafood Recipes,5.0,,6.0,,Easy,3.0,0.75,,1.0,3.0,0.25,0.5,0.5,1.0,,,cup of water,"Few sprigs of parsley, basil, tarragon, basil","pound of salmon , skin on",teaspoon of ghee,teaspoon of salt,teaspoon of pepper,"of a lemon, thinly sliced","whole carrot, julienned",,,Set your pot to Saute mode and water and herbs,Place a steamer rack inside your pot and place salmon,Drizzle Ghee on top of the salmon and season with salt and pepper,Cover lemon slices,Lock up the lid and cook on HIGH pressure for 3 minutes,Release the pressure naturally over 10 minutes,Transfer the salmon to a serving platter,Set your pot to Saute mode and add vegetables,Cook for 1-2 minutes,Serve with vegetables and salmon. Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Salmon_Platter-Salmon_Platter.jpg,True,464.0,34.0,3.0,34.0
223,Feisty Bacon Scallops,Fish and Seafood Recipes,10.0,,23.0,,Easy,4.0,1.0,2.0,,3.0,0.25,,,,,,"pound bacon, uncured","pounds sea scallops, fresh and patted dry",Lemon wedges,tablespoon golden ghee,cup dry white wine,,,,,,Line two baking sheets with parchment paper,Pre-heat your oven to 400-degree F,"Put bacon strips on sheet evenly, bake for 15 minutes",Crumbled once cooked and cooled,Take a skillet and place it over high heat,Pour grease and heat it up,"Brown scallops in oil, cook for 3 minutes each side","Set scallops on the side and add wine to the skillet; Use wine to deglaze pan, scrape brown bits",Add ghee and make wine sauce; Add scallops and bacon,Toss and cook for 1 minute more. Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Feisty_Bacon_Scallops-Feisty_Bacon_Scallops.jpg,True,550.0,27.0,6.0,66.0
224,Grilled Lime Shrimp,Fish and Seafood Recipes,25.0,,5.0,,Easy,8.0,1.0,1.0,0.5,3.0,,,,,,,"pound medium shirmp, peeled and deveined","lime, juiced",cup olive oil,tablespoons Cajun seasoning,,,,,,,"Take a re-sealable zip bag and add lime juice, Cajun seasoning, olive oil","Add shrimp and shake it well, let it marinate for 20 minutes",Pre-heat your outdoor grill to medium heat,Lightly grease the grate,Remove shrimp from marinade and cook for 2 minutes per side,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Lime_Shrimp-Grilled_Lime_Shrimp.jpg,True,188.0,3.0,1.2,13.0
225,Mouthwatering Calamari,Fish and Seafood Recipes,10.0,60 marinating,8.0,,Easy,4.0,2.0,1.0,0.5,,,,1.5,2.0,2.0,,tablespoons extra virgin olive oil,teaspoon chili powder,teaspoon ground cumin,Zest of 1 lime,Juice of 1 lime,Dash of sea salt,"pounds squid, cleaned and split open, with tentacles cut into ½ inch  rounds","tablespoons cilantro, chopped","tablespoons red bell pepper, minced",,"Take a medium bowl and stir in olive oil, chili powder, cumin, lime zest, sea salt, lime  juice and pepper","Add squid and let it marinade and stir to coat, coat and let it refrigerate for 1 hour",Pre-heat your oven to broil,"Arrange squid on a baking sheet, broil for 8 minutes turn once until tender",Garnish the broiled calamari with cilantro and red bell pepper,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mouthwatering_Calamari-Mouthwatering_Calamari.jpg,True,159.0,13.0,12.0,3.0
226,Salmon And Zesty Cream Sauce,Fish and Seafood Recipes,10.0,,,,Medium,4.0,2.0,0.3,2.0,1.0,0.5,1.0,,,,,boneless salmon or trout fillets,cup sour cream,tsp mustard,tbsp lemon juice,tsp dill,tsp lemon zest,,,,,Mix all the cream ingredients and spices together in a small bowl.,Season with salt and pepper to taste and set aside.,Lightly grease a shallow pan and cook the fillets for 2-3 minutes on each side (for a  medium to well-done result).,Serve on a dish and pour the sauce on top or on the side. You can serve it also  with some broccoli or asparagus for an extra kick of taste and nutrients,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Salmon_And_Zesty_Cream_Sauce-Salmon_And_Zesty_Cream_Sauce.jpg,True,397.0,22.0,4.0,42.0
227,Crisped Up Coconut Shrimp,Fish and Seafood Recipes,10.0,,20.0,,Easy,4.0,1.0,0.5,1.0,3.0,0.5,,,,,,pound of large shrimp (peeled and deveined),cup coconut flour,tsp cayenne seasoning (salt included),eggs beaten,cup unsweetened coconut flakes,,,,,,"Keep the coconut flour with the seasoning, coconut flakes, and beaten eggs into  separate bowls each.","Dip and roll in the shrimps (one by one) into the coconut flour mixture, shake off the  excess flour, dip in the eggs and then roll in last to the unsweetened coconut flakes.",Heat one cup of oil and dry the shrimps for 4-5 minutes or until golden brown.,Serve in a shallow dish with absorbing paper and serve with hot mayo (mayo with  cayenne seasoning),,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crisped_Up_Coconut_Shrimp-Crisped_Up_Coconut_Shrimp.jpg,True,354.0,24.0,20.0,13.0
228,Spiced Up Tuna Avocado Balls,Fish and Seafood Recipes,10.0,,,,Easy,4.0,2.0,0.5,2.0,,1.0,,,,,,avocados halved,lbof sushi-grade ahi tuna (or smoked tuna if you can't find any),tbsp of mayo,sriracha sauce,tsp of toasted sesame seeds,,,,,,"Combine in a small bowl the tuna with the mayo, sriracha sauce, and toasted sesame  seeds.",Scoop and distribute the mixture onto the avocado halves.,Add some extra sriracha sauce optionally on top,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spiced_Up_Tuna_Avocado_Balls-Spiced_Up_Tuna_Avocado_Balls.jpg,True,256.0,17.0,8.0,15.0
229,Asian Glazed Salmon and Cauliflower,Fish and Seafood Recipes,10.0,,5.0,,Easy,4.0,4.0,2.0,4.0,2.0,2.0,,,,,,boneless fillets of salmon,cups (around 550 grams) of frozen cauliflower rice (or freshly ground  cauliflower rice using a food processor),tbsp of liquid aminos or soy sauce,"tbsp of shallots, chopped finely",tbsp of sesame oil,,,,,,"Make a marinade of the liquid aminos, shallots, and sesame oil and combine them all  into a bowl.",Soak the salmon fillets to the marinade and optionally refrigerate for at least an hour  before cooking.,Pop these into the oven and bake for 10-12 minutes.,"While the salmon cooks, heat and prepare the frozen cauliflower rice, according to  package instructions.",Serve the salmon over the cauliflower rice hot,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Asian_Glazed_Salmon_and_Cauliflower-Asian_Glazed_Salmon_and_Cauliflower.jpg,True,210.0,13.0,4.0,15.0
230,Shrimp And Bacon Zoodles,Fish and Seafood Recipes,10.0,,12.0,,Easy,4.0,1.0,1.25,2.0,,1.0,,,,,,lb of fresh peeled and deveined shrimp,cup of salted butter,cloves of garlic mashed,"stripes of beef bacon, chopped","zucchini, made into zoodles using a spiralizer or mandolin slicer",,,,,,"Heat a skillet, add the butter and shrimp and cook for 2 minutes on each side.",Add the garlic and cook for another minute.,Remove the shrimps from the heat and add the bacon and the zucchini noodles in  the garlic oil. Cook tossing for 4-5 minutes.,"Return the shrimps to the bacon zoodles, toss, and transfer to a deep dish.",Sprinkle optionally with some freshly grated parmesan,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Shrimp_And_Bacon_Zoodles-Shrimp_And_Bacon_Zoodles.jpg,True,670.0,51.0,6.0,48.0
231,Baked Lobster Tails And Garlic Butter,Fish and Seafood Recipes,10.0,,15.0,,Easy,4.0,4.0,1.0,5.0,0.25,4.0,,,,,,lobster tails,lemon juiced,cloves of garlic,cup grated parmesan,tbsp of salted butter,,,,,,"Preheat oven to 375F/180C. In a small bowl, combine together the lemon juice, garlic,  and grated parmesan.","Using kitchen shears, cut the clear skin and remove off the lobster and brush the  tails with the garlic butter mix",Place on a baking sheet with parchment paper on top and bake in the oven for 15  minutes,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Baked_Lobster_Tails_And_Garlic_Butter-Baked_Lobster_Tails_And_Garlic_Butter.jpg,True,222.0,14.0,2.0,21.0
232,Spicy Sea Bass Hazelnuts,Fish and Seafood Recipes,10.0,,,,Easy,4.0,2.0,2.0,0.3,,,,,,,,sea bass fillets,tbsp butter,cup roasted hazelnuts,A pinch of cayenne pepper,,,,,,,Preheat your oven to 4255F.,Line a baking dish with waxed paper. Melt the butter and brush it over the fish.,Process the cayenne pepper and hazelnuts in a food processor to achieve a  smooth consistency. Coat the sea bass with the hazelnut mixture.,Place in the oven and bake for about 15 minutes,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spicy_Sea_Bass_Hazelnuts-Spicy_Sea_Bass_Hazelnuts.gif,True,467.0,31.0,3.8,
233,Perfectly Marinated Grilled Salmon,Fish and Seafood Recipes,,,,,Easy,4.0,4.0,2.0,4.0,1.0,2.0,,,,,,5-ounce salmon steaks,"cloves garlic, pressed",tablespoons olive oil,tablespoon Taco seasoning mix,tablespoons fresh lemon juice,,,,,,Place all of the above ingredients in a ceramic dish; cover and let it marinate for  40 minutes in your refrigerator.,Place the salmon steaks onto a lightly oiled grill pan; place under the grill for 6  minutes.,"Turn them over and cook for a further 5 to 6 minutes, basting with the reserved  marinade; remove from the grill.",Serve immediately and enjoy,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Perfectly_Marinated_Grilled_Salmon-Perfectly_Marinated_Grilled_Salmon.jpg,True,312.0,2.0,30.0,0.4
234,Salmon Fat Bombs,Fish and Seafood Recipes,10.0,,,,Easy,4.0,2.0,1.0,2.0,,,,,,,,"tbsp cream cheese, softened",ounce smoked salmon,tsp bagel seasoning,,,,,,,,"Take a medium bowl, place cream cheese and salmon in it, and stir until well  combined.","Shape the mixture into balls, roll them into bagel seasoning and then serve",,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Salmon_Fat_Bombs-Salmon_Fat_Bombs.jpg,True,48.0,4.0,,0.5
235,Baked Cod And Tomato Capers Delight,Fish and Seafood Recipes,10.0,,25.0,,Easy,4.0,4.0,2.0,1.0,2.0,2.0,,,,,,"cod fillets, boneless",tablespoons avocado oil,cup tomato passata,"tablespoons capers, drained","tablespoons parsley, chopped",,,,,,"In a roasting pan, combine the cod with the oil and the other ingredients, toss gently,  introduce in the oven at 370 degrees F and bake for 25 minutes",Divide between plates and serve,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Baked_Cod_And_Tomato_Capers_Delight-Baked_Cod_And_Tomato_Capers_Delight.jpg,True,150.0,3.0,0.7,3.0
236,Perfect Tuna Salad And Pickle Boats,Fish and Seafood Recipes,10.0,30 chill time,,,Easy,4.0,18.0,6.0,0.5,0.25,1.0,,,,,,oz canned and drained tuna,large dill pickles,tsp garlic powder,cup sugar-free mayonnaise,tsp onion powder,,,,,,"Mix the mayo, tuna, onion, and garlic powders in a bowl. Cut the pickles in half,  lengthwise. Top each half with a tuna mixture.",Place in the fridge for 30 minutes and serve,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Perfect_Tuna_Salad_And_Pickle_Boats-Perfect_Tuna_Salad_And_Pickle_Boats.jpg,True,118.0,10.0,1.5,11.0
237,Tuna And Spinach Salad,Fish and Seafood Recipes,10.0,,,,Easy,4.0,2.0,2.0,0.25,0.25,2.0,,,,,,oz of spinach leaves,"oz tuna, packed in water",tsp ground black pepper,tsp sea salt,"tbsp coconut oil, melted",,,,,,"Take a salad bowl, place spinach leaves in it, drizzle with 1 tbsp oil, sprinkle with 1/8  tsp of salt and black pepper, and then toss until mixed.","Top with tuna, sprinkle with remaining salt and black pepper, drizzle with oil and  then serve",,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Tuna_And_Spinach_Salad-Tuna_And_Spinach_Salad.jpg,True,155.0,62.0,1.3,0.7
238,Grilled Fish Salad Nicoise,Fish and Seafood Recipes,10.0,,,,Easy,4.0,0.75,1.0,1.0,8.0,0.5,,,,,,"pound tuna fillet, skinless","white onion, sliced",teaspoon Dijon mustard,"Nicoise olives, pitted and sliced",teaspoon anchovy paste,,,,,,"Brush the tuna with nonstick cooking oil; season with salt and freshly cracked black  pepper. Then, grill your tuna on a lightly oiled rack for approximately 7 minutes, turning  over once or twice.",Let the fish stand for 3 to 4 minutes and break into bite-sized pieces. Transfer to a  nice salad bowl.,"Toss the tuna pieces with the white onion, Dijon mustard, Nicoise olives, and  anchovy paste. Serve well chilled, and enjoy!",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Fish_Salad_Nicoise-Grilled_Fish_Salad_Nicoise.jpg,True,194.0,0.9,3.7,0.5
239,Cumin And Salmon Meal,Fish and Seafood Recipes,10.0,,,,Easy,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,"salmon fillets, boneless",tablespoon avocado oil,"red onion, sliced",teaspoon chili powder,"teaspoon cumin, ground",,,,,,"Heat up a pan with the oil over medium-high heat, add the onion and chili powder  and cook for 2 minutes.","Add the fish, salt, pepper, and cumin, cook for 4 minutes on each side divide between  plates and serve.",,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cumin_And_Salmon_Meal-Cumin_And_Salmon_Meal.jpg,True,300.0,14.0,5.0,20.0
240,Favorite Lemon Dill Trout,Fish and Seafood Recipes,10.0,,0.0,,Easy,4.0,2.0,1.5,0.5,2.0,3.0,,,,,,"lb pan-dressed trout (or other small fish), fresh or frozen",tsp salt,cup butter or margarine,tbsp dill weed,tbsp lemon juice,,,,,,Cut the fish lengthwise and season it with pepper.,Prepare a skillet by melting the butter and dill weed.,"Fry the fish on high heat, flesh side down, for 2-3 minutes per side.",Remove the fish. Add the lemon juice to the butter and dill to create a sauce.,Serve the fish with the sauce.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Favorite_Lemon_Dill_Trout-Favorite_Lemon_Dill_Trout.jpg,True,460.0,22.0,1.0,57.0
241,Premium Dijon Halibut Steak,Fish and Seafood Recipes,10.0,,,,Easy,4.0,1.0,1.0,1.0,0.5,1.0,,,,,,6-oz fresh or thawed halibut steak,tbsp butter,tbsp lemon juice,tbsp Dijon mustard,tsp fresh basil,,,,,,"Heat the butter, basil, lemon juice, and mustard in a small saucepan to make a  glaze.",Brush both sides of the halibut steak with the mixture.,Grill the fish for 10 minutes over medium heat until tender and flakey.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Premium_Dijon_Halibut_Steak-Premium_Dijon_Halibut_Steak.jpg,True,305.0,16.0,6.0,34.0
242,Asparagus And Tilapia Dish,Fish and Seafood Recipes,20.0,,120.0,,Easy,4.0,1.0,,,,,0.5,,,,,bunch asparagus,tilapia fillets,tablespoons lemon juice,Pepper for seasoning,Lemon juice for seasoning,"tablespoons for clarified butter, for each fillet",,,,,Cut single pieces of foil for the fillets,Divide the bundle of asparagus into even number depending on the number of your  fillets,Lay the fillets on each of the pieces of foil and sprinkle pepper and add a teaspoon of  lemon juice,Add clarified butter and top with asparagus,Fold the foil over the fish and seal the ends,Repeat with all the fillets and transfer to cooker,Cook on HIGH for 2 hours,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Asparagus_And_Tilapia_Dish-Asparagus_And_Tilapia_Dish.jpg,True,229.0,10.0,1.0,28.0
243,Mesmerizing Shrimp Scampi,Fish and Seafood Recipes,20.0,,150.0,,Easy,3.0,1.0,0.5,2.0,2.0,2.0,1.0,,,,,cup chicken broth,cup white wine vinegar,tablespoons olive oil,"teaspoon garlic, chopped","teaspoons garlic, minced",pound large raw shrimp,,,,,"Add chicken broth, lemon juice, white wine vinegar, olive oil, lemon juice, chopped  garlic, and fresh minced parsley",Add thawed shrimp (the ratio should be 1 pound of shrimp for ¼ cup of chicken  broth),Place lid and cook on LOW for 2 and a ½ hours,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mesmerizing_Shrimp_Scampi-Mesmerizing_Shrimp_Scampi.jpg,True,293.0,24.0,4.0,16.0
244,The All Time Favorite Tomato And Basil Soup,Soups and Stews Recipes,10.0,,15.0,,Easy,4.0,14.5,2.0,0.25,0.25,4.0,,,,,,"ounces tomatoes, diced",ounces cream cheese,cup heavy whipping cream,"cup basil, fresh and chopped",tablespoons butter,,,,,,"Add tomatoes into blender, alongside juices and puree until smooth","Take a saucepan and place it over medium heat, add tomato puree, heavy cream,  butter, cream cheese and cook for 10 minutes","Add basil, season as desired and cook for 5 minutes more",Use an immersion blender to blend the mixture,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_All_Time_Favorite_Tomato_And_Basil_Soup-The_All_Time_Favorite_Tomato_And_Basil_Soup.jpg,True,239.0,22.0,7.0,3.0
245,Healthy Lamb Stew,Soups and Stews Recipes,10.0,,180.0,,Medium,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,"onion, peeled and chopped","carrots, peeled and chopped","pounds lamb, cubed","tomato, cored and chopped","garlic clove, peeled and minced",tablespoons butter,cup beef stock and white wine,Salt and pepper to taste,rosemary sprigs,"teaspoon fresh thyme, chopped",Heat up Dutch oven over medium-high heat,Add oil and let it heat up,"Add lamb, salt, pepper and brown all sides",Transfer to plate,Add onion to Dutch oven and cook for 2 minutes,"Add carrots, tomato, garlic, butter stick, wine, salt, pepper, rosemary, thyem and stir  for a few minutes",Return lamb to Dutch Oven and cook for4 hours,Discard rosemary sprits,"Add more salt, pepper and stir",Divide between bowls. Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Healthy_Lamb_Stew-Healthy_Lamb_Stew.jpg,True,700.0,43.0,10.0,67.0
246,Hearty Chicken Liver Stew,Soups and Stews Recipes,10.0,,,,Medium,2.0,10.0,1.0,2.0,1.0,,,,,,,ounces chicken livers,"ounce onion, chopped",ounces sour cream,tablespoon olive oil,Salt to taste,,,,,,Take a pan and place it over medium heat,Add oil and let it heat up,Add onions and fry until just browned,Add livers and season with salt,Cook until livers are half cooked,Transfer the mix to a stew pot,Add sour cream and cook for 20 minutes,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Chicken_Liver_Stew-Hearty_Chicken_Liver_Stew.jpg,True,146.0,9.0,2.0,15.0
247,Tender Slow Cooked Ham Stew,Soups and Stews Recipes,10.0,,240.0,,Medium,4.0,8.0,14.0,0.5,,4.0,0.25,3.0,16.0,1.0,,"ounces cheddar cheese, grated",ounces chicken stock,teaspoon garlic powder,Salt and pepper to taste,"garlic cloves, peeled and minced",cup heavy cream,"cups ham, chopped",ounces cauliflower florets,"cup carrot, sliced into thin rings",,"Add ham, stock, cheese, cauliflower, garlic powder, onion powder, salt, pepper, garlic, carrot, heavy cream to Slow Cooker",Stir well,Place lid and cook on HIGH for 4 hours,Stir and divide between bowls,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Tender_Slow_Cooked_Ham_Stew-Tender_Slow_Cooked_Ham_Stew.jpg,True,320.0,20.0,6.0,23.0
